Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price (£)
Audi,Model 3,1.2849206337142354,Diesel,2022,41284,44700
Mercedes-Benz,C-Class,3.442139657982242,Hybrid,2006,22300,39540
Volkswagen,Golf,3.0761726087100576,Petrol,2011,159092,14409
Toyota,C-Class,4.37873400626103,Hybrid,2000,85547,38500
Tesla,Fiesta,3.4953480225455547,Electric,2011,14527,46527
Tesla,Model 3,1.0271953977054373,Diesel,2010,97403,43502
Ford,A4,2.5891647841361607,Hybrid,2022,92784,38682
BMW,Model 3,3.014434202248995,Petrol,2002,15580,49685
BMW,3 Series,4.110185050417755,Diesel,2019,9232,49581
BMW,Golf,4.8904826293897745,Electric,2010,94905,48173
Chevrolet,Altima,1.709404611549059,Electric,2001,8926,45363
Audi,A4,4.465697040556908,Electric,2014,21393,19346
Honda,C-Class,4.945553707177399,Petrol,2017,36460,45291
Honda,Altima,4.45290344388005,Electric,2018,13620,9441
Mercedes-Benz,A4,4.336235073161308,Petrol,2000,53781,23229
Tesla,Fiesta,2.754216607092349,Electric,2006,150347,11895
Mercedes-Benz,Altima,1.4004016482486334,Diesel,2009,170199,8243
Ford,Corolla,4.152589612055149,Petrol,2007,109900,15103
Honda,A4,2.601226361839995,Petrol,2021,27958,16311
Toyota,3 Series,1.202407842621771,Electric,2012,69137,5229
Audi,Golf,3.024149275974861,Diesel,2008,190322,11425
Nissan,Altima,2.944597460863921,Electric,2021,51674,2846
Mercedes-Benz,Corolla,4.613541951626482,Petrol,2017,25162,29870
Nissan,Golf,1.1313434173433752,Petrol,2014,132563,19633
BMW,Altima,3.4562768458971758,Electric,2020,35109,4638
Nissan,Cruze,4.5499307730863965,Hybrid,2016,92311,22205
Audi,Civic,3.9610402776580886,Hybrid,2010,26574,3747
Ford,Corolla,4.1952837664446445,Hybrid,2015,38280,34999
Toyota,Altima,2.1294923174233626,Petrol,2007,88127,26355
Honda,Fiesta,1.1420920529474183,Petrol,2006,58317,18716
Ford,Cruze,3.9672591606212477,Petrol,2007,37196,33947
Audi,Civic,4.654832450909478,Electric,2016,33072,15236
BMW,A4,1.2361525410267755,Petrol,2010,14401,38984
Mercedes-Benz,Altima,1.6524720993680826,Diesel,2019,36819,34239
BMW,C-Class,3.133833537196654,Hybrid,2019,5695,21943
Chevrolet,Civic,1.8153118895366744,Hybrid,2014,165489,20837
Chevrolet,Corolla,1.744044668361763,Petrol,2003,97985,4958
Chevrolet,Altima,1.3670403432291587,Electric,2015,168825,21296
Ford,Altima,4.862496927857905,Hybrid,2000,46406,6093
Audi,Corolla,3.689362324687813,Hybrid,2022,35418,5155
Ford,3 Series,2.022050590696788,Hybrid,2020,25462,22161
Tesla,Fiesta,2.5236017806718376,Electric,2003,86651,28053
Nissan,Altima,2.880314730690245,Electric,2009,75761,25972
Toyota,3 Series,2.7665814740276256,Electric,2015,44589,29473
Ford,A4,3.4952229203764404,Electric,2011,49146,32104
Volkswagen,Civic,4.655574472124421,Diesel,2012,197768,46303
Honda,Model 3,2.8788042657698076,Hybrid,2008,52058,41752
BMW,3 Series,4.754733342098073,Diesel,2008,78495,38192
BMW,Civic,3.2790509003492407,Hybrid,2019,69679,2463
Nissan,Golf,1.3118250433703076,Diesel,2014,49692,1354
Toyota,3 Series,3.38739722288964,Hybrid,2010,49559,36434
Audi,Altima,1.4946124405247145,Electric,2016,119900,47462
Audi,Golf,4.15459889454241,Hybrid,2006,43335,16849
Audi,Corolla,4.091994069038546,Electric,2019,184575,10511
Chevrolet,Cruze,2.8194326478186555,Hybrid,2008,118744,27795
Chevrolet,Fiesta,2.9829689572507343,Petrol,2013,115013,25239
Audi,A4,3.1799055759671306,Petrol,2018,102350,41703
Mercedes-Benz,A4,3.811658967878038,Diesel,2007,18340,35571
Chevrolet,3 Series,4.7139165653953885,Hybrid,2008,184768,40853
Chevrolet,Cruze,2.085633795190097,Hybrid,2002,11544,45648
Tesla,Civic,3.2594752740818462,Electric,2012,158498,19993
Honda,Golf,1.0677776778287926,Petrol,2017,21123,35750
Chevrolet,3 Series,1.045361301177718,Petrol,2006,35292,12980
Mercedes-Benz,Civic,1.927652133172709,Diesel,2012,66869,10639
BMW,Corolla,4.842727481867877,Petrol,2004,73073,38680
Mercedes-Benz,Altima,2.880076783789801,Electric,2008,157515,1080
Volkswagen,Civic,2.332766510226051,Diesel,2004,118130,39090
Ford,Fiesta,1.5670859260386898,Hybrid,2011,69867,41153
Chevrolet,3 Series,4.316509256253704,Petrol,2010,150473,20238
Mercedes-Benz,A4,3.465159790347262,Electric,2002,199621,9180
Toyota,Corolla,3.423175524205051,Hybrid,2017,187357,12793
Mercedes-Benz,Model 3,4.872797744883206,Hybrid,2000,25466,44202
Honda,Altima,3.2881709775411663,Hybrid,2002,166846,40401
BMW,Corolla,4.7330926367332395,Diesel,2018,1742,42699
Mercedes-Benz,Cruze,2.273915725626099,Diesel,2011,106388,13647
Honda,Civic,4.443681146422756,Hybrid,2011,67011,29403
Audi,C-Class,3.3385529460298304,Petrol,2008,75053,37018
Tesla,Golf,1.8245445125625541,Petrol,2010,55077,25626
Mercedes-Benz,A4,4.231225935991386,Diesel,2003,169602,28990
Toyota,C-Class,4.692930103474271,Diesel,2016,35287,25585
BMW,Model 3,2.865072671921471,Hybrid,2009,130284,21838
Honda,3 Series,4.503473052001108,Electric,2022,28115,31039
Ford,Cruze,3.4877864538961068,Petrol,2014,85628,43188
Tesla,Cruze,2.7929212515212316,Diesel,2019,113075,25333
Toyota,Corolla,3.6240915237753604,Electric,2010,137568,35941
Volkswagen,Cruze,4.772387984846434,Petrol,2004,87415,31175
Chevrolet,Civic,1.43695780573049,Diesel,2000,104165,6743
Nissan,Cruze,4.03894700228656,Electric,2004,1440,19125
Toyota,Fiesta,1.2681584858136854,Petrol,2014,128312,37091
Volkswagen,Civic,4.386125247249932,Petrol,2015,24068,17420
BMW,C-Class,4.1688831733577,Hybrid,2015,89027,45634
Audi,3 Series,2.6798707576587497,Diesel,2021,61995,19959
Nissan,Fiesta,3.473101251903996,Electric,2020,140228,25476
Audi,Civic,4.426278812425612,Hybrid,2008,187729,28954
Volkswagen,3 Series,3.044980389871978,Electric,2013,166869,22797
Nissan,Corolla,2.0749730682273473,Diesel,2013,55597,16440
Tesla,Fiesta,2.4742410937817874,Electric,2012,192232,31590
BMW,C-Class,3.259827387266102,Diesel,2007,182683,8518
BMW,Fiesta,2.926336765958662,Petrol,2004,45957,27686
BMW,Model 3,4.015642078616191,Diesel,2010,195474,18219
Mercedes-Benz,Fiesta,1.2425975069794477,Electric,2017,185580,27961
Tesla,A4,2.938249552204428,Hybrid,2013,73163,34070
Toyota,Golf,2.768017622658871,Hybrid,2000,116874,44987
BMW,Corolla,4.509595533178335,Electric,2021,41643,22925
Volkswagen,Model 3,3.5169364799313083,Petrol,2021,50663,21615
Mercedes-Benz,Cruze,3.615388703887484,Electric,2017,185793,43447
Mercedes-Benz,3 Series,2.931352779293874,Hybrid,2018,156566,31599
Volkswagen,Golf,1.8899435265707267,Diesel,2000,160185,14760
Honda,A4,1.3705264163148154,Petrol,2005,171604,18966
Mercedes-Benz,Civic,2.752055306445531,Diesel,2015,148108,45186
Volkswagen,Cruze,1.975346508295205,Hybrid,2021,195396,39183
Honda,Altima,1.4449555114938053,Diesel,2002,87647,9060
Chevrolet,Altima,2.120759789943603,Electric,2000,129174,41137
Nissan,Altima,2.492118706431118,Petrol,2020,48342,46664
Tesla,Fiesta,2.259571067222709,Diesel,2014,135132,18080
Ford,Corolla,3.415829622105203,Hybrid,2012,13592,28090
BMW,A4,2.51371548665655,Electric,2010,136694,44735
BMW,3 Series,3.538291605904292,Diesel,2015,46619,7775
Chevrolet,Fiesta,3.4409927319166114,Diesel,2016,85951,20310
Nissan,A4,1.5690810543702063,Electric,2002,97642,20715
Ford,3 Series,4.633514354317566,Diesel,2003,123120,10498
Ford,Civic,1.0540376020233815,Hybrid,2009,44578,47375
Toyota,Corolla,4.790174943328209,Hybrid,2014,108163,22073
Ford,Cruze,1.4752577460314331,Hybrid,2019,150417,23217
Nissan,Corolla,1.5831521424876516,Diesel,2017,72711,11046
Volkswagen,Golf,1.9096351612268796,Electric,2020,105005,49010
Nissan,Civic,3.726540812865205,Petrol,2007,29023,49740
Nissan,Model 3,3.3369709131019665,Petrol,2006,155967,10650
Volkswagen,Fiesta,2.5441574818216695,Hybrid,2015,97391,31584
Ford,Civic,1.3058853788954274,Diesel,2011,93275,8284
Honda,Altima,4.197246247189382,Hybrid,2004,75409,13667
BMW,Model 3,1.6199528520539341,Hybrid,2013,144545,21051
Audi,Fiesta,1.3049900636743366,Hybrid,2021,189461,10302
Volkswagen,Civic,2.7353015559449947,Diesel,2016,28651,13814
Honda,A4,1.8863399874316293,Electric,2014,124064,10195
BMW,Altima,2.0315552726399453,Electric,2000,190467,5472
Ford,Civic,1.0327458183778133,Diesel,2011,16683,4019
Tesla,A4,1.3958408481730586,Electric,2007,152208,6181
Volkswagen,Cruze,3.1686148639007126,Electric,2010,155394,26326
Tesla,Model 3,1.8500944319853807,Diesel,2015,54330,33692
Tesla,Civic,2.29499948852097,Petrol,2019,12421,44895
Mercedes-Benz,Altima,1.564434519141007,Hybrid,2018,7619,41922
Volkswagen,Model 3,2.546546059574582,Electric,2016,144862,33587
Volkswagen,Corolla,3.5511070440976873,Diesel,2000,80404,48865
Honda,Corolla,1.8186989319864821,Petrol,2000,170832,18107
Audi,A4,1.9041928963447319,Hybrid,2019,81691,18519
Volkswagen,C-Class,2.74842082744421,Electric,2020,162455,20027
Audi,3 Series,3.0543424767389116,Hybrid,2016,86096,14965
Volkswagen,C-Class,1.7267919352262426,Petrol,2016,177157,16146
Tesla,Model 3,2.2938565252491996,Diesel,2007,4805,2017
BMW,3 Series,1.5703575217062884,Electric,2003,172502,44931
Mercedes-Benz,Golf,2.1563825329145923,Diesel,2015,142555,20546
Volkswagen,Altima,4.911869677480304,Electric,2011,98712,2533
Tesla,Golf,1.8619019403353825,Diesel,2003,45029,36794
Volkswagen,3 Series,2.506609351473364,Diesel,2016,187409,32391
Ford,Model 3,3.6901998198375354,Diesel,2009,39144,24730
Ford,Corolla,4.802108434061225,Diesel,2008,55483,48815
Chevrolet,Model 3,2.565904536564847,Diesel,2000,8982,20241
Chevrolet,C-Class,2.263388393507892,Petrol,2016,172098,21392
Mercedes-Benz,3 Series,3.814978067037729,Diesel,2000,90732,1685
Mercedes-Benz,Cruze,3.4385318405432255,Diesel,2000,122557,18982
BMW,Corolla,3.035833988411959,Hybrid,2005,24928,38170
Tesla,Cruze,1.071164645570208,Petrol,2012,118250,30639
Audi,3 Series,4.1730827110670194,Petrol,2003,146133,46865
Chevrolet,Corolla,3.9663762116737726,Hybrid,2016,43392,38697
Chevrolet,C-Class,1.3531162574598739,Hybrid,2008,112778,20104
Volkswagen,Corolla,3.7356498705257293,Petrol,2014,70162,40530
Toyota,Golf,3.0309496935297315,Electric,2021,83785,23197
Audi,Model 3,2.728951055437127,Electric,2004,187023,11423
Mercedes-Benz,Civic,3.8644531810308256,Diesel,2010,126180,49514
Audi,C-Class,2.6511300530181265,Hybrid,2005,116983,3581
Nissan,A4,1.3503659619121366,Electric,2022,122073,43149
Ford,Model 3,2.2759167734609305,Diesel,2007,114112,18240
Honda,Cruze,1.0185557801630045,Hybrid,2004,107501,6511
Audi,C-Class,4.563739230287288,Petrol,2009,89122,13271
Toyota,Fiesta,4.699062823009429,Hybrid,2005,1869,6355
Nissan,Altima,4.031783915104629,Electric,2015,96594,4862
Nissan,Cruze,1.2572592598295498,Electric,2000,195463,5289
Mercedes-Benz,Model 3,2.998342075186382,Diesel,2004,44493,35825
Honda,C-Class,1.2796017739888703,Hybrid,2008,18020,45527
Volkswagen,C-Class,1.5453280595438956,Hybrid,2015,27813,40918
Nissan,Model 3,1.5273469264481743,Electric,2011,195124,29710
Honda,Fiesta,1.3578918431664095,Petrol,2015,78332,43494
Nissan,Fiesta,3.511838597014721,Hybrid,2012,49357,39358
Toyota,Altima,4.668224659808599,Hybrid,2004,55353,3367
Honda,Corolla,1.1257791897744447,Electric,2014,186992,14049
Mercedes-Benz,Model 3,3.5921570955038904,Hybrid,2019,146066,32874
Mercedes-Benz,A4,3.6943553134689875,Diesel,2007,6813,46245
Toyota,Golf,1.8309350799353785,Electric,2011,184292,46692
BMW,A4,2.355379549578962,Diesel,2006,78419,6667
Volkswagen,Altima,4.1423584240227855,Petrol,2010,176438,12708
Tesla,Cruze,4.863002727646812,Diesel,2017,89387,23826
Toyota,Golf,4.58277622587645,Electric,2019,85793,41022
Mercedes-Benz,Model 3,4.024339970160208,Hybrid,2013,20395,41663
BMW,3 Series,4.886462302538297,Electric,2008,158065,26832
Honda,Golf,2.5635180912484454,Petrol,2002,170107,6974
Nissan,Cruze,3.811980473590609,Diesel,2022,105526,3679
Tesla,C-Class,4.303755186386199,Petrol,2013,73165,40847
Chevrolet,Golf,2.516681538824442,Electric,2009,188228,42748
Toyota,C-Class,2.2595899773483303,Diesel,2015,124033,6100
Nissan,Cruze,4.976125717649275,Diesel,2022,78515,31826
Audi,Altima,1.9509972517635927,Electric,2001,26810,32133
Honda,C-Class,2.4723092519603265,Diesel,2015,55532,15541
Volkswagen,Corolla,2.8576535049304708,Petrol,2018,160571,45874
BMW,Golf,4.5526314765988785,Petrol,2000,19460,13482
Volkswagen,Golf,4.398769485458828,Petrol,2020,156559,27194
Nissan,Corolla,4.059452086019207,Diesel,2019,145791,33845
Volkswagen,Civic,3.568752031975185,Diesel,2014,32667,39684
Mercedes-Benz,Fiesta,1.637071567749134,Petrol,2004,86959,40398
Ford,C-Class,4.11457682586781,Electric,2011,3880,29463
Toyota,C-Class,2.464525550458396,Diesel,2001,84523,47855
Audi,3 Series,3.7067483752606636,Diesel,2002,75109,28622
Tesla,Model 3,3.6628453419352076,Electric,2021,146977,39599
Audi,Model 3,4.599230897403023,Electric,2013,128197,17168
Mercedes-Benz,Corolla,1.605076046431178,Petrol,2021,42911,23772
Tesla,Altima,2.593218858574791,Diesel,2010,197061,23211
Tesla,Golf,4.080146936092419,Hybrid,2006,16208,32222
Mercedes-Benz,Fiesta,3.905397804620502,Hybrid,2018,5356,36556
Volkswagen,Model 3,4.168645280847436,Diesel,2022,157787,19588
Nissan,Corolla,4.649544504588244,Petrol,2014,189727,23940
Nissan,Altima,2.1315090731987767,Diesel,2022,9509,33880
Volkswagen,A4,1.640055695976292,Hybrid,2006,104158,1191
Honda,Golf,3.4630308936082046,Hybrid,2001,135988,9686
Audi,3 Series,3.0749122337934183,Diesel,2016,11137,14136
Nissan,C-Class,1.6542849997136875,Diesel,2017,25346,43849
Tesla,A4,3.220008793648049,Petrol,2012,142105,19939
Tesla,Cruze,3.4459375912377355,Diesel,2013,117335,23897
Ford,Fiesta,3.123316894990194,Petrol,2022,22881,14673
Volkswagen,3 Series,4.7058395110878095,Electric,2022,174002,20139
Audi,A4,1.3180471714897233,Diesel,2010,122787,7310
Ford,Corolla,2.5089175589523216,Hybrid,2012,133084,17025
Chevrolet,3 Series,3.2584224268049655,Petrol,2021,168689,16404
Tesla,Model 3,2.1625648546696046,Electric,2002,169389,45993
Tesla,3 Series,4.223146263353878,Hybrid,2020,105754,36375
Honda,Model 3,3.904638093982236,Electric,2010,120583,14006
Tesla,Golf,2.2263677535280566,Petrol,2010,89079,45936
Volkswagen,Fiesta,3.6061728768503922,Diesel,2020,27000,26121
Toyota,Model 3,1.903661871606026,Hybrid,2012,121593,17226
Volkswagen,C-Class,3.551956823059757,Petrol,2013,60881,14948
Tesla,Corolla,3.5087301504184483,Electric,2003,142065,3972
Nissan,Cruze,3.195744107464514,Electric,2013,73509,38813
Chevrolet,Corolla,4.877046630541492,Diesel,2003,49700,43469
Ford,Fiesta,3.5788619236474726,Hybrid,2016,160832,49079
Honda,Golf,3.382990377795333,Electric,2017,42941,10618
Ford,A4,2.3468695175042105,Electric,2002,122947,19105
Nissan,Model 3,4.596234110879318,Electric,2006,88555,27453
Mercedes-Benz,A4,1.264120761658181,Electric,2019,53343,11540
Tesla,C-Class,3.9235851384522733,Diesel,2016,130597,30162
Honda,Golf,3.863283728260627,Electric,2013,13285,24951
Toyota,Golf,2.6286591667989367,Hybrid,2020,135217,36109
Nissan,Golf,3.2374949275534366,Diesel,2015,169663,2826
Ford,Golf,1.8246923279245508,Petrol,2015,24414,47935
BMW,Civic,1.3089719070391865,Diesel,2020,102697,10340
Honda,Golf,1.685464221082602,Petrol,2005,160641,9800
Mercedes-Benz,Civic,2.665669521766938,Electric,2011,61030,16383
Mercedes-Benz,A4,4.4696072237173805,Hybrid,2014,198307,11207
Tesla,Corolla,2.9123369159500245,Electric,2009,155725,30718
Nissan,3 Series,2.0898302320881577,Hybrid,2005,18620,27506
BMW,Altima,3.0870897010089378,Hybrid,2005,32104,9349
Tesla,Altima,3.0398613529725305,Hybrid,2019,129222,9475
Mercedes-Benz,A4,2.2030182489412744,Hybrid,2004,69194,43832
Chevrolet,Golf,1.6489605528663778,Electric,2022,75270,6451
Audi,Altima,1.7682530229559674,Hybrid,2015,66100,2096
Audi,3 Series,2.632154776274852,Hybrid,2019,177997,5627
Audi,3 Series,1.6676653066360339,Petrol,2007,110274,20260
Honda,Model 3,3.0467497267349555,Diesel,2020,99789,31054
Toyota,3 Series,1.6287497171344274,Petrol,2007,141114,8239
Tesla,3 Series,4.390260194288956,Electric,2001,62669,45213
Volkswagen,Altima,2.411691117410629,Diesel,2020,167194,10564
BMW,Model 3,3.466576931249734,Diesel,2004,51015,12092
Toyota,Corolla,2.697890078854581,Diesel,2002,197557,7983
Audi,Altima,3.4323613535187767,Hybrid,2013,138906,41657
Honda,Corolla,2.9385591423706368,Diesel,2020,58166,22831
Audi,Cruze,4.170036879730221,Hybrid,2004,107958,45253
Audi,Cruze,4.913118296203429,Hybrid,2010,124848,4021
Volkswagen,C-Class,3.8995338845779357,Hybrid,2003,155118,45485
BMW,3 Series,4.611361169915834,Electric,2001,199057,34270
Nissan,Golf,1.0577218712003984,Petrol,2021,152848,1045
Audi,Altima,1.9369131895526297,Diesel,2012,97033,37460
Audi,Corolla,1.039790195723893,Hybrid,2001,80471,2105
Nissan,Civic,2.5732681105338515,Hybrid,2000,142019,5750
Toyota,3 Series,3.2357814749738405,Diesel,2021,136143,30535
Volkswagen,C-Class,2.363452247670039,Electric,2008,65857,32158
Honda,Cruze,1.1751330722205608,Petrol,2008,3064,40681
Mercedes-Benz,Corolla,1.1746592920527226,Electric,2014,198532,18573
Tesla,Fiesta,2.6057418415733125,Electric,2005,193610,41044
Audi,Cruze,2.3801440689718794,Hybrid,2020,131164,33013
Chevrolet,Corolla,3.466604337208608,Electric,2003,44626,43419
Audi,Fiesta,4.69772752749002,Diesel,2020,4267,15938
Mercedes-Benz,Golf,2.7418008000493654,Electric,2022,169366,35392
Toyota,Civic,3.6311582685815615,Diesel,2011,130299,16861
Volkswagen,Golf,4.199651736614236,Electric,2001,71987,33912
Nissan,Golf,3.6016940233186303,Petrol,2022,90392,26492
Tesla,Golf,2.2665461380719254,Hybrid,2009,28069,28136
Honda,C-Class,4.06700460045543,Diesel,2018,111211,34759
Honda,A4,1.6642809627593178,Hybrid,2013,90362,23248
Ford,Model 3,3.443802342371729,Petrol,2007,23286,35258
Nissan,Model 3,1.6052756293623847,Diesel,2010,133164,49533
Honda,3 Series,2.3496205706285185,Diesel,2002,40238,43741
Nissan,A4,2.503638680537447,Petrol,2003,168244,21344
Tesla,Cruze,3.4345401849193355,Hybrid,2015,139411,5272
Tesla,Model 3,3.431173566617732,Electric,2021,85511,13986
Honda,Corolla,3.3938318555048643,Hybrid,2002,133645,40468
Mercedes-Benz,Altima,2.4710571251279174,Electric,2012,47074,3571
Tesla,Golf,3.0229823367195383,Electric,2005,92079,1804
Volkswagen,Model 3,2.924440214436468,Petrol,2001,33740,40982
BMW,A4,1.5626159913251723,Diesel,2008,104337,20011
Volkswagen,C-Class,4.611128709346672,Hybrid,2009,130984,40526
Chevrolet,Cruze,3.2507220211720633,Hybrid,2021,30478,29674
Chevrolet,Model 3,2.941769259501005,Diesel,2012,79409,37568
Mercedes-Benz,Golf,4.080458696089442,Petrol,2011,39924,11581
Chevrolet,Model 3,3.1770381940328147,Petrol,2011,80474,25019
Toyota,Golf,3.8658251808862967,Hybrid,2012,136061,3038
BMW,C-Class,2.683102709165621,Petrol,2000,162542,1294
BMW,C-Class,3.8503934405116587,Petrol,2016,128227,6316
Tesla,Model 3,2.507696105764289,Electric,2014,5298,20897
BMW,Altima,1.8269721126946306,Diesel,2011,188412,31806
Chevrolet,C-Class,3.5652677898964167,Diesel,2014,107990,22244
Nissan,Fiesta,3.0031868355186564,Electric,2001,141365,26848
Audi,C-Class,2.6516127269791068,Electric,2001,160982,25920
Toyota,A4,1.9610238198430836,Diesel,2004,182753,19434
Mercedes-Benz,A4,1.7465659987510342,Hybrid,2007,66713,28708
Tesla,Civic,4.349989261644795,Hybrid,2000,18697,38511
Nissan,C-Class,1.0855518167076257,Diesel,2013,10157,47901
Chevrolet,Fiesta,1.3183621400647905,Electric,2003,130022,9823
Ford,Cruze,1.5065948961542621,Diesel,2011,85952,17536
Tesla,Fiesta,3.4938717927216905,Diesel,2010,188682,35158
Mercedes-Benz,A4,3.567324799741824,Diesel,2001,17935,38115
Tesla,Golf,3.090233063592767,Hybrid,2018,81774,31200
Ford,Cruze,2.678226752959132,Petrol,2022,127524,34577
Chevrolet,C-Class,4.8975162847253095,Diesel,2021,19372,35595
Audi,Cruze,2.650466935879802,Diesel,2013,28681,26895
Honda,3 Series,2.547939236193796,Diesel,2009,117717,6890
Chevrolet,A4,2.543362144698465,Hybrid,2019,151631,30400
Honda,Golf,3.1413350075555977,Electric,2015,99331,32700
Audi,Corolla,2.74734990964746,Electric,2002,128336,25063
Chevrolet,Fiesta,4.104561269552384,Petrol,2003,44916,24146
Toyota,Golf,2.8365974122689996,Hybrid,2002,99252,3930
Toyota,Golf,3.0131324226801444,Electric,2015,45924,2950
Toyota,Fiesta,1.8237872846429117,Hybrid,2022,147348,24662
Honda,Golf,1.0054690868955083,Petrol,2009,197624,2618
Chevrolet,Altima,3.0591683805187992,Petrol,2019,28898,30066
Toyota,Corolla,3.5747252870434094,Diesel,2006,169797,35205
Honda,Altima,2.660230825628037,Petrol,2000,123395,20538
Toyota,C-Class,4.430703985120031,Hybrid,2002,9433,11728
BMW,Corolla,3.440343987629561,Diesel,2018,43489,33127
Toyota,3 Series,2.372406089666216,Electric,2007,161396,4143
BMW,Model 3,3.921204380219814,Electric,2003,69912,38167
BMW,3 Series,2.731962381477517,Petrol,2008,181750,20101
Ford,Corolla,4.263480837272497,Petrol,2021,91147,23953
Audi,Corolla,1.458588976458839,Hybrid,2004,129368,36208
Nissan,Model 3,2.8940661798146112,Electric,2011,88761,17156
Nissan,C-Class,1.3448623431863749,Electric,2002,174162,15631
Nissan,3 Series,2.4318093758792667,Petrol,2013,14300,36387
Volkswagen,Model 3,4.789213323718716,Electric,2021,45410,18639
Audi,C-Class,3.058515378070839,Electric,2004,168494,25657
BMW,Cruze,2.554645604161406,Hybrid,2011,149422,1034
Chevrolet,Cruze,4.482695959643366,Petrol,2021,85599,33133
Nissan,Corolla,2.7581020632329665,Hybrid,2012,138712,11807
Audi,A4,1.1678810898145477,Electric,2011,177925,29526
Chevrolet,A4,1.4613390258059034,Electric,2004,130146,5800
Toyota,Corolla,3.713658621307389,Electric,2016,134847,33382
Toyota,Cruze,1.988511047164391,Diesel,2005,156458,24503
Mercedes-Benz,Golf,2.3973356120185154,Petrol,2010,86273,22223
Tesla,Fiesta,2.882998326320953,Diesel,2007,172266,20024
Audi,Model 3,2.334335823975297,Petrol,2017,114332,10572
Chevrolet,Cruze,4.1713266079457,Diesel,2008,66653,31303
Nissan,Altima,4.571515256795593,Electric,2016,169956,27245
BMW,A4,1.5892259846159154,Petrol,2018,37123,1625
Mercedes-Benz,Golf,3.462639134380964,Hybrid,2012,71877,13018
Honda,Civic,1.122736242142277,Hybrid,2001,156459,47025
Audi,3 Series,4.932251324971136,Hybrid,2012,173655,17622
BMW,3 Series,2.7790251468534954,Diesel,2016,160796,11908
Mercedes-Benz,3 Series,1.443263668560776,Electric,2012,196160,17289
Honda,Fiesta,2.754663055202126,Petrol,2001,112336,21570
BMW,Altima,1.186861673405315,Hybrid,2006,198633,39712
Audi,Corolla,3.702329396925452,Electric,2007,152110,38988
Audi,Model 3,1.2747141042481558,Diesel,2011,63329,47459
Honda,A4,3.2226191968944686,Petrol,2000,164531,4969
Honda,Fiesta,1.4142925127152832,Petrol,2018,113885,19926
Mercedes-Benz,Corolla,3.32057325826942,Hybrid,2006,85675,26603
Ford,C-Class,3.6539757935755475,Petrol,2007,164483,44374
Chevrolet,C-Class,1.459012509026878,Hybrid,2005,122724,11344
Mercedes-Benz,3 Series,4.654248955903938,Diesel,2019,142441,37748
BMW,C-Class,1.5394448951775752,Electric,2006,184239,42981
Ford,Corolla,1.5608880431749497,Diesel,2016,3919,22757
BMW,Golf,3.2842798373850757,Electric,2021,130138,6173
Chevrolet,Model 3,1.6239593326044366,Electric,2003,4257,23311
Volkswagen,Cruze,4.5263568025461804,Petrol,2019,162221,3065
Audi,Cruze,1.1216962400109645,Hybrid,2009,54778,4039
Toyota,Fiesta,3.919617678423079,Electric,2018,55283,25052
Mercedes-Benz,Golf,3.962129444619193,Electric,2006,160188,46029
Mercedes-Benz,Fiesta,2.888361372163201,Petrol,2011,41019,17262
Ford,Corolla,1.9818535643099002,Hybrid,2021,62225,11763
Tesla,Cruze,1.0418366952833158,Hybrid,2018,8242,10020
Volkswagen,Golf,2.5880551167504415,Petrol,2006,22527,45244
Mercedes-Benz,Model 3,4.055515521511964,Diesel,2003,76456,17772
Toyota,Golf,2.859350943457504,Petrol,2006,127662,30149
Ford,Fiesta,4.525944127727222,Hybrid,2001,35266,37062
Toyota,Fiesta,2.292985078197615,Electric,2017,159568,5598
Toyota,Cruze,4.631312183593275,Petrol,2017,192077,1904
Volkswagen,Golf,4.656997313735122,Electric,2004,14807,17000
Chevrolet,Corolla,2.244588767866374,Diesel,2016,58827,17412
Nissan,3 Series,2.0097992297596665,Hybrid,2004,30504,1439
Volkswagen,Altima,2.908891574707404,Hybrid,2022,185256,12801
Ford,Civic,1.5636730002002097,Electric,2013,147669,26876
Chevrolet,Civic,3.6072442134691682,Electric,2017,100100,13349
Toyota,Fiesta,3.6605401479651616,Petrol,2012,92125,10670
Ford,3 Series,4.090059167598492,Electric,2007,149213,3601
Mercedes-Benz,C-Class,2.4021407091586946,Petrol,2005,22787,48037
Volkswagen,3 Series,4.041393611408823,Electric,2012,141935,11065
Nissan,Altima,1.325776276939782,Petrol,2020,174879,34601
Ford,Civic,2.2615643839960957,Hybrid,2008,99886,3541
Mercedes-Benz,A4,1.3826222630507439,Electric,2000,43851,6450
Chevrolet,A4,3.6547161044300736,Electric,2013,48200,20579
Honda,3 Series,3.3335450596414926,Hybrid,2012,20577,24514
Mercedes-Benz,A4,4.125083237402702,Hybrid,2018,56334,1329
Audi,Fiesta,3.8633166655090303,Electric,2003,141047,46658
Ford,Fiesta,4.000592229015637,Hybrid,2010,171844,33718
Tesla,C-Class,2.7408346106657624,Petrol,2015,131482,7269
Honda,Civic,1.7731741516089143,Hybrid,2014,138732,21135
BMW,Altima,4.457259165967023,Hybrid,2004,77761,28776
Volkswagen,3 Series,4.86754456585159,Hybrid,2014,123265,38631
Audi,Civic,1.348512893686011,Diesel,2018,125323,34104
BMW,Cruze,2.0575446321439865,Electric,2011,134888,13534
Nissan,3 Series,2.1746917973079736,Diesel,2014,28636,12938
